id;title;country_codes;type;source;link;yield_class_step;age_step;tree_type
139;Wiedemann Fichte Baden-Wuerttemberg;DE;dgz_100;Schober, R. (Hg.): Ertragstafeln wichtiger Baumarten bei verschiedener Durchforstung. 4. Aufl., Frankfurt am Main: J. D. Sauerländer`s Verlag, 1995.;https://www.eurobuch.com/buch/isbn/3793907309.html;1;10;coniferous
140;Wiedemann japanische Laerche Baden-Wuerttemberg;DE;dgz_60;Schober, R. (Hg.): Ertragstafeln wichtiger Baumarten bei verschiedener Durchforstung. 4. Aufl., Frankfurt am Main: J. D. Sauerländer`s Verlag, 1995.;https://www.eurobuch.com/buch/isbn/3793907309.html;1;10;coniferous
141;Wiedemann Kiefer Baden-Wuerttemberg;DE;dgz_100;Schober, R. (Hg.): Ertragstafeln wichtiger Baumarten bei verschiedener Durchforstung. 4. Aufl., Frankfurt am Main: J. D. Sauerländer`s Verlag, 1995.;https://www.eurobuch.com/buch/isbn/3793907309.html;1;10;coniferous
143;Wiedemann Pappel Baden-Wuerttemberg;DE;dgz_50;Schober, R. (Hg.): Ertragstafeln wichtiger Baumarten bei verschiedener Durchforstung. 4. Aufl., Frankfurt am Main: J. D. Sauerländer`s Verlag, 1995.;https://www.eurobuch.com/buch/isbn/3793907309.html;0.5;10;deciduous
144;Wiedemann Roteiche Baden-Wuerttemberg;DE;dgz_100;Schober, R. (Hg.): Ertragstafeln wichtiger Baumarten bei verschiedener Durchforstung. 4. Aufl., Frankfurt am Main: J. D. Sauerländer`s Verlag, 1995.;https://www.eurobuch.com/buch/isbn/3793907309.html;1;10;deciduous
145;Larice;RO;dgz_100;Victor Giurgiu, Dorin Draghiciu: Modele matematico-auxologice si tabele de productie pentru arborete;;;5;coniferous
146;Pin Silvestru;RO;dgz_100;Victor Giurgiu, Dorin Draghiciu: Modele matematico-auxologice si tabele de productie pentru arborete;;;5;coniferous
147;Fag din samanta;RO;dgz_100;Victor Giurgiu, Dorin Draghiciu: Modele matematico-auxologice si tabele de productie pentru arborete;;;5;deciduous
148;Mesteacan;RO;dgz_100;Victor Giurgiu, Dorin Draghiciu: Modele matematico-auxologice si tabele de productie pentru arborete;;;5;deciduous
149;Plop alb si Plop negru;RO;dgz_100;Victor Giurgiu, Dorin Draghiciu: Modele matematico-auxologice si tabele de productie pentru arborete;;;5;deciduous
150;Salcie din Samanta;RO;dgz_100;Victor Giurgiu, Dorin Draghiciu: Modele matematico-auxologice si tabele de productie pentru arborete;;;2;deciduous
